Player,2024 Playoff Points,2024 Playoff Assists,2024 Playoff Rebounds,2023-2024 Reg Season Points,2023-2024 Reg Season Assists,2023-2024 Reg Season Rebounds,,Past Reg Season Points,Past Reg Season Assists,Past Reg Season Rebounds,Past Playoff Points,Past Playoff Assists,Past Playoff Rebounds,point_factor,assist_factor,rebound_factor,point_mean,assist_mean,rebound_mean,Probability,prob_adj
Jayson Tatum,21.8,5.4,10.4,26.9,4.9,8.1,,22.7,3.33,7.03,23.8,4.28,7.35,1.04845815,1.285285285,1.045519203,25.00176211,5.848948949,9.434352774,0.357,0.2826779359
Nikola Jokic,28.2,9.8,16.2,26.4,9,12.4,,23.6,5.03,11.38,28.06,6.88,12.22,1.188983051,1.367793241,1.073813708,29.79457627,11.05506958,14.75764499,0.25,0.1979537367
Jaylen Brown,22.8,2.2,7,23,3.6,5.3,,17.43,2.15,5.21,17.41,2.08,5.45,0.9988525531,0.9674418605,1.046065259,22.88680436,2.841395349,6.272072937,0.083,0.06572064057
Luka Doncic,30.2,8.8,9.2,33.9,9.8,9.2,,28.3,8.7,8.83,32.8,8.46,9.16,1.159010601,0.9724137931,1.037372593,34.74522968,9.164827586,9.37191393,0.09,0.0712633452
Shai Gilgeous-Alexander,27.3,5,6,30.1,6.2,5.5,,,,,,,,1.08,0.99,1.08,29.904,5.569,5.97,0.1,0.07918149466
Anthony Edwards,31,6.3,8,25.9,5.1,5.4,,,,,,,,1.08,0.99,1.08,29.486,5.6745,6.916,0.09,0.0712633452
Kristaps Porziņģis,12.3,1.8,5,20.1,2,7.2,,,,,,,,1.08,0.99,1.08,17.004,1.89,6.388,0.0196,0.01551957295
Paul George,19.8,4.8,6,22.6,3.5,5.2,,20.2818,3.5,6.2454,21.1818,4.0181,7.209,1.04437476,1.148028571,1.154289557,21.70143478,4.40905,6.001152848,,0.01
Jalen Brunson,35.5,9,4.5,28.7,6.7,3.6,,18.225,4.925,4.15,23.225,4.925,4.9,1.274348422,1,1.180722892,36.03689986,7.85,4.375301205,0.076,0.06017793594
Donovan Mitchell,22.4,4.4,4.4,26.6,6.1,5.1,,22.21,4.74,4.31,23.64,4.74,4.83,1.064385412,1,1.120649652,25.35632598,5.25,5.057656613,,0.01
Kyrie Irving,25.8,4.8,5.6,25.6,5.2,5,,20.4,4.83,4.09,23.03,4.9,4.36,1.128921569,1.014492754,1.06601467,27.35019608,5.037681159,5.465036675,,0.01
Tyrese Maxey,29.8,6.8,5.2,25.9,6.2,3.7,,17.93,4,2.88,19.35,3.58,3.83,1.079196877,0.895,1.329861111,28.87559955,6.1745,5.060243056,,0.01
Karl-Anthony Towns,19.3,2.5,9.5,21.8,3,8.3,,23.93,3.45,9.625,18.63,2.23,10.98,0.7785206853,0.6463768116,1.140779221,18.13587547,2.219565217,9.484233766,,0.01
Jamal Murray,23.6,7.2,4.6,21.2,6.5,4.1,,19.48,5.58,4.08,24.38,6.4,4.88,1.251540041,1.146953405,1.196078431,25.06632444,7.327598566,4.751960784,0.0344,0.02723843416
Bradley Beal,16.5,4.5,2.8,18.2,5,4.4,,21.27,3.97,4.02,21.18,3.88,4.37,0.9957686883,0.9773299748,1.087064677,17.31149506,4.693324937,3.791542289,,0.01
Tyrese Haliburton,16,9.3,5.8,20.1,10.9,3.9,,,,,,,,1.08,0.99,1.08,18.854,10.0455,5.006,,0.01
Chet Holmgren,15.3,2.3,8.8,16.5,2.4,7.9,,,,,,,,1.08,0.99,1.08,16.56,2.338,8.666,,0.01
Derrick White,22.4,3.2,3.6,15.2,5.2,4.2,,10.78,3.68,3.3,12.34,2.26,2.52,1.14471243,0.6141304348,0.7636363636,19.89981447,3.19673913,3.403636364,0.024,0.01900355872
Rudy Gobert,15,1.5,11,14,1.3,12.9,,14.48,1.38,12.83,13.7,1.19,11.36,0.9461325967,0.8623188406,0.8854247857,14.12292818,1.310507246,11.21098987,,0.01
Jalen Williams,21.3,5,7.3,19.1,4.5,4,,,,,,,,1.08,0.99,1.08,20.964,4.7275,5.81,,0.01
Paolo Banchero,24.8,4.4,7.2,22.6,5.4,6.9,,,,,,,,1.08,0.99,1.08,24.604,4.873,7.326,,0.01
